user,waktu,review
Nur Fajri Nishfi Sya'baniyah,setahun lalu,Kalau gak mendung dan hujan BAGUS BANGETTTT pemandangannya...
Peter,7 tahun lalu,"Kelud crater is much like Ijen crater but to reach it need much greater efforts than Ijen. You need to prepare your physics and leg muscles because the road there is quite rocky and stiff. Much fewer tourists here compared to Ijen because of that, meaning that you can enjoy the scenery more privately."
jnnfrska,sebulan lalu,"belum ada pengalaman, pengen kesana tapi belum ada partnerr.
ngeliat ulasan maps, jd pengen ke Kelud"
Griselda Merrie,3 tahun lalu,"Mount Kelud is a small active volcano with a crater lake with the highest peak at 1.731 m asl. This mountain is often underrated due to less popularity than the other volcanoes in East Java, eventhough it has a very beautiful view and quite …"
Dhani Rizquna Aldino,2 tahun lalu,"One of best place in kediri City ❤️
Untuk akses sekarang sudah sangat mudah untuk di akses, Good job buat pengelola 👍 …"
Mona Fresh,8 bulan lalu,"Gunung kebanggaan masyarakat Kediri 😍 View nya indah sekali, udaranya juga sejuk cenderung dingin. Tapi untuk pendaki wajib hati-hati, banyak jalan berbatu kecil² , licin, rawan bikin tergelincir …"
rendy uciha,8 tahun lalu,Gunung Kelud merupakan salah satu gunung yang menjadi tujuan wisata para wisatawan lokal maupun wisatawan asing. Tempat ini menyajikan pemandangan yang sangat indah ditambah dengan atmosfer udara yang sangat sejuk yang bisa membuat para pengunjung betah berada disini.
Rofiana 7396,6 tahun lalu,Cukup melelahkan perjalanan sampai ke kawahnya... Tapi rasa lelah itu terbayar sudah dg keindahan pesona gunung kelud.. Sebenarnya ada sewa ojek... Tapi saya memilih jalan kaki saja karena g mau melewatkan Keindahan dan moment nya d sepanjang jalan... Kediri Lagi.. Kediri the best
Febriana Berta,3 tahun lalu,"jarak dari parkiran ke kawah ± 3km bisa diakses dengan naik ojek atau jalan kaki, diatas tidak ada toilet sempatkan mampir di area parkir kalo mau diatas lamalama, kalo mau jalan kaki ramerame bareng temen seru kalo beruntung ketemu monyet2 …"
Anis Yulia,setahun lalu,rute jalur wisata buat kaum kaum yg mager mendaki
Omah Lawe,6 tahun lalu,"Gunung Kelud, adalah sebuah gunung berapi di Provinsi Jawa Timur, Indonesia, yang tergolong aktif. Gunung ini berada di perbatasan antara Kabupaten Kediri, Kabupaten Blitar, dan Kabupaten Malang, kira-kira 35 km sebelah timur pusat Kota Kediri dan 25 km sebelah utara pusat Kota Blitar."
Yusuf Budisantoso,4 tahun lalu,Gunung Kelud. Gunung berapi masih aktif di kabupaten Blitar. Jalur pendakian lewat Tulungrejo Wlingi sangat menantang. Tapi puas sampe kawah Kelud.
Putra Andry,6 tahun lalu,"Puncak gunung kelud via Tulungrejo blitar ,ada beberapa petunjuk dan juga ada tali di tebing setelah melewati punggung naga,medan yang di lalui berupa pasir dan bebatuan,kalo cuaca bagus dapat spot foto bagus kalo jelek jalur bisanaya …"
ayu islamiyati,setahun lalu,"Seger, bagus. Sayangnya g boleh mendekat ke kawah"
Kurang Kerjaan Bos,7 tahun lalu,"Sudah bisa naik sampai kawah lho. Tapi kendaraan pribadi tetep ditinggal di parkiran bawah. Untuk yang takut keringetan bisa naik ojek, tarifnya 40rb PP dari parkiran sampai kawah. Tapi kita jalan kaki, karena kita LAKI."
Zulfikar Azaria,6 tahun lalu,"Berwisata ke gunung kelud ini memiliki keunikan tersendiri, dimana untuk sampai ke atas kita dapat menggunakan ojek yang harganya cukup terjangkau, usahakan datang saat langit cerah, karena medan yang dilalui didominasi tanah dan batu."
Hrd Ptr,4 tahun lalu,"Tempatnya adem, nyaman dan indah. Akses jalan kesini juga bagus dan nyaman. Fasiltas wisata cukup lengkap."
Aris S,Diedit 7 tahun lalu,Destinasi wisata andalan Kabupaten Kediri. Gunung kelud adalah salah satu gunung berapi berstatus aktif yang tercatat meletus sebanyak 7 kali sepanjang abad ke 20. Gunung kelud meletus terakhir kali pada tahun 2014. Letusan terakhir tahun …
Riyanto Arbie [cak rye],8 tahun lalu,Gunung Kelud yang terletak di sebelah tenggara Kediri dan sebelah Timur Lautnya Blitar memiliki keindahan alam yang sejuk..
Dhian Puspita,7 tahun lalu,"Gunung kelud
Destiny wisata yang apik di kabupaten kediri
Sepanjang jalan ke gunung kelud kita disuguhkan dengan kuliner, sate bekicot …"
lina edmy,Diedit 7 tahun lalu,"Pendakian gunung kelud via tulungrejo,  blitar ini cocok untuk pendaki pemula."
irwan supriadi,4 tahun lalu,Lokasi yg indah walau sdikit menakutkan krn terkenal sbg gunung berapi yg paling sering erupsi.
Siti Sholikah,8 tahun lalu,"Kemarin minggu kesana, baguuus banget. Baru pertama kali kesana, jalanan aspal bagus, kiri kanan banyak banget pohon dan tanaman nanas, dingin udaranya, gunungnya bagus banget"
Ririn Wu,2 tahun lalu,Bayar tiket masuknya murah dan sudah ada ojek bagi temen temen yg malas jalan kaki ke kawahnya. Bayar 40k atau 50k ke bapak ojeknya sudah deh sampe.
Agus S,8 tahun lalu,Tempat wisata yg sangat bagus. Berada di pegunungan membuat udaranya sejuk dan bersih.
astri putri,6 tahun lalu,"Rekomen bgt untuk yg suka wisata alam . Udaranya sejuk, pemandangannya bagus bangeeet .. Jalannya jg udah dibeton jadi lancar . Klo mau menuju ke kawahnya harus naik ojek, 50 ribu PP"
ER Art,Diedit 7 tahun lalu,Suasana gunung kelud ini pemandangannya sangat indah dan udaranya pun segar. Di foto itu ada sodara gw namanya syaddad .. siap hormatt 😂👍 …
Khibranbagas Dwiasmoro,5 tahun lalu,"The amazing place to visit even once. Recommended for volcano addict. It have mesmerizing landscape such as cliff, valley, rocky peak, crater lake and also challenging track. …"
Hanik Fitri,4 tahun lalu,"Gak sempat foto terowongan dan gak sempat foto selfie, 😄 cuma foto kawah aja..
Sekarang kawah nya bagus, warna nya biru, tp sayang kalo mau menuju ke kawah harus pakai jasa ojek yg harga nya cukup lumayan. Kalo gak mau ngojek bisa jalan kaki, tapi capek laahh.. Jalan kurleb jalan 3-5 km 😌 …"
Ega Agustina Cahyani,7 tahun lalu,"Harga tiket masuk lumayan murah yaitu 10.000 ketika weekend ditambah biaya parkir motor 2.000 dan biaya masuk kendaraan yaitu sepeda motor 1000. Untuk tujuan wisata keluarga maupun wisata rombongan,  menurutku masih belum worth it karena …"
fabyan adriansyah F12-2,2 tahun lalu,"wajib dikunjungi. pemandangan bagus, dari parkiran sepeda motor bisa langsung jalan kaki menuju kawahnya atau bisa naik ojek dengan harga 30rb sudah sampai di kawahnya."
Af Amn,Diedit 4 tahun lalu,"Kalau dari kampus Inggris pare,  sewa motor 50rb/3 jam...  Pergi lah rame-rame biar ada yang fotoin kamu...  Pemandangannya bagus...  tapi waktu aku pergi, cuaca sedang kabut tebal...  jadi tidak ada pemandangan....  yang ada hanya …"
reni Puji,7 tahun lalu,"Anugerah Tuhan yang sangat indahhh...
Harga tiket masuk 19k(2org dewasa+motor)
Lumayan mahal, tp disuguhkan pemandangan indah jadi gk menyesal.."
Iftinan S,7 tahun lalu,"Gunung Kelud dalam bahasa Belanda disebut Klut, Cloot, Kloet, atau Kloete) adalah sebuah gunung berapi di Provinsi Jawa Timur, Indonesia, yang tergolong aktif. Gunung ini berada di perbatasan antara Kabupaten Kediri, Kabupaten Blitar, dan Kabupaten Malang , kira-kira 27 km sebelah timur pusat Kota Kediri"
Alvian Kyosan Denki,7 tahun lalu,"Rekreasi untuk kluarga....dengan pesona alam yg indah...sejuk ....segar....
Sangat sehat bila jalan kaki menuju kawah kelud☺"
Auldrien Ayu,2 tahun lalu,Kunjungan saya ke Gunung Kelud sudah cukup lama namun baru ingin menulis sedikit ulasan. Pemandangan di sini sangat indah dan bisa diakses dengan naik ojek pada saat itu.
rillo ahmad,6 tahun lalu,"Gunung Kelud di Kediri, Jawa Timur meletus sekitar pukul 22.50 WIB kemarin. Ribuan warga Kediri dan sekitarnya pun diungsikan demi menghindari hal-hal yang tak diinginkan. Gunung ini terakhir meletus pada tahun 2007 lalu. …"
chekly 49,6 tahun lalu,"Gersang dan panas kesan awal datang, untuk mencapai puncak bisa naik ojek dengan biaya 40 s.d 50 rb , start dari parkiran mobil pribadi (kecil). Jika datang bersama rombongan naik bis cuma sampai di tugu awal, dari situ ada angkutan yang …"
imjo 9874,6 tahun lalu,"Bagi anda traveller yang berada di Jawa Timur, rasanya masih kurang jika tidak mengunjungi wana wisata yang satu ini. Yups ! Gunung Kelud. Gunung berapi aktif yang berada di kawasan Perbatasan Kediri - Blitar ini bisa dijadikan list dalam …"
Handoyo Handoyo,6 tahun lalu,Tempat wisata yg menyenangkan dan rute goes yg penuh tantangan...butuh perjuangan utk mencapainya
ddwip story,3 tahun lalu,Agar tidak salah jalan saat gunakan maps sebaiknya gunakan pilihan mobil agar diberi arahan jalan besar (bukan jalan potong diperkampungan) dan coba tujuan destinasi di ketik gerbang kawasan wisata gunung kelud
Ietha Noerleea,2 tahun lalu,"Pemandangan bagus, ke puncak bisa naik ojek atau jalan kaki tergantung kemampuan tp pemandangan di post 1 jg bagus kok"
mas joko tresno,6 tahun lalu,"Tak lengkap rasanya kalau berwisata ke Kediri tanpa mampir ke gunung Kelud ini,
Akses lokasi nya yg mudah di jangkau dgn semua kendaraan,"
Aprilia dwi Anggraini,6 tahun lalu,"Deket dari rumah....🙈 Kapan aja bisa kesini wkwkw..
Apalagi kalau datangnya pagi2 ndak bayar tiket masuk wkwkw …"
Asrul Najib,Diedit 8 tahun lalu,"Keindahan Gunung kelud 1.731 mdpl ini nggk kalah indahnya dngn gunung di atas 3000 mdpl lain nya..
Buat pendaki pemula gk prlu khawatir krna pengelola/warga skitar sngat ramah …"
Nayylaputriamaliaa12,2 bulan lalu,gemass bnget ini mahh‼️😍 …
Rahmad venture,6 tahun lalu,"Sayang sekali kesana pas musim hujan,jadi pemandangan tertutup mendung,,,saran buat pengelola tolong sediakan toilet umum dan tempat peristirahatan sepanjang perjalanan 3km terakhir menuju kawah gunung kelud"
Handoko Tony,7 tahun lalu,"Gunung Kelud sangat recomended buat pendaki yang suka track extreem .Tentunya lewat jalur pendakian via Blitar Gandusari .Dengan waktu tempuh dari pos pendakian 1/pendaftaran sekitar 3-4 jam,tergantung fisik dan cuaca .Tiket masuk pun juga …"
Anita Gunawan,7 tahun lalu,"Saran saya kalo kesini enakan naik motor...karena kalo naik mobil, kalian pasti diturunin dipemberhentian terakhir dan disuruh nyewa motor...sebenarnya disini ga ada apa²nya...cuma saya suka pemandangannya yg indah dan perjuangan yg cukup …"
avrilina rahmawati,4 tahun lalu,"Jalur menuju lokasi bagus dan terurus, namun sewaktu diatas dekat kawah tidak ada toilet. Tolong diberi toilet di bagian dekat kawahnya, menurut pegawai disitu roilet adanya di parkiran mobil dan itu jauh bgt kalo  posisi sudah diatas"
Emmats' Sai,Diedit setahun lalu,Gunung Kelud emang bagus buat para pecinta gunung walaupun jalannya udah di cor
Baguss ADVENTURE,7 tahun lalu,"Sebuah keindahan karya tuhan yg terletak di kab. kediri jawa timur ini sungguh indah dan memanjakan mata, hamparan gunung yg di slimuti semak-semak hijau sangatlah mempesona."
Yusri Marliana,3 tahun lalu,"Sudah 2x kesini, makin lama makin bagus tempatnya. Kalau mau jalan kaki ke kawah emang lumayan, tapi ada ojek kok."
eleanor zen,7 tahun lalu,"Gak pernah bosen yang kesini. Dah 3x ini saben ke kediri mampir kesini. View na keren, makanan yg di taman agro margomulyo nya murah n enak."
dimas rachmat,7 tahun lalu,"Gunung Kelud (sering disalahtuliskan menjadi Kelut dalam bahasa Jawa; dalam bahasa Belanda disebut Klut, Cloot, Kloet, atau Kloete) adalah sebuah gunung berapi  di Provinsi Jawa Timur, Indonesia, yang tergolong aktif. Gunung ini berada di …"
Ayuanita Petrisia,4 tahun lalu,"* letak strategis, jalan nya mudah aspal alus sampai parkiran atas
* masuk loket bayar karcis masuk kawasan wisata @10.000
* menerapkan prokes dimasa pandemi …"
Ayu Danayu,5 tahun lalu,"Tempat rekreasi yg sangat sejuk...namun penuh tantangan, karena untuk menuju kawah harus jalan kaki jauh atau naik ojek yg lumayan memacu adrenalin, krn jalan yg masih berliku-liku dan penuh kerikil....senoga segera di perbarui.Yang pasri pemandangan yg sangat indah dengan udara yg segar..."
saifudin zukhri,4 tahun lalu,"Salah satu gunung aktif di Jawa Timur
Kurang lebih satu jam dari Kota Kediri
Pemandangannya lumayan …"
Hobi Apa saja,2 tahun lalu,Salah satu destinasi wisata alam Kediri yang wajib di kunjungi..
Dilanggar 12,sebulan lalu,Rekomendasi paling cocok dan terjamin kwalitas nya
Dee Moji,setahun lalu,"Tempatnya masih bagus, disini hanya ada kawah dan beberapa tebing. Jalanannya juga masih aman buat dilewati. …"
Justang Fariel,3 tahun lalu,"Bagus banget, subuh2 ke sini jadi bisa lihat sunrise, udara sejuk dan asri."
ika trisna,setahun lalu,Sangat cocok sekali untuk pemula tektokan 🤣 …
christine arieska,7 tahun lalu,Gunung Kelud ini bisa jadi rujukan wisata di Blitar buat yang sudah lama dan agak jenuh hidup di kota besar yang banyak gedung tinggi. …
Diah Arwaningsih,7 tahun lalu,"Bagus, tanjankannya curam jadi harus hati hati. Lebih baik berkendara pribadi atau sewa."
Khoirul Rahman,7 tahun lalu,Tempatnya bagus. Tapi sayang kalo mau ke kawah harus sewa ojek. Kalau ga jalan jauh banget
Indah Csoff,4 tahun lalu,"Panorama yg menakjubkan..
Tiket murah. 10K utk weekend, 8K utk weekday.  Mobil cm bisa sampai di area parkir. Utk mencapai lokasi lahar dan gunung sumbing bs dicapai dgn jalan kaki yg …"
Galih Mahardhika,Diedit 7 tahun lalu,"Wisata yang menarik namun dalam tahap renovasi setelah erupsi, untuk bepergian kesana disarankan kendaraan dlm kondisi prima baik mobil dan sepedah montor, karena jalan menuju dan pulang membutuhkan skill dan pengereman yang pas, (khusus …"
M Brilliant F,4 tahun lalu,"Gunung Kelud, dalam aksara jawa ꦒꦸꦤꦸꦁꦏꦼꦭꦸꦠ꧀ (sering disalahtuliskan menjadi Kelut dalam bahasa Jawa; dalam bahasa Belanda disebut Klut, Cloot, Kloet, atau Kloete) adalah sebuah gunung berapi di Provinsi Jawa Timur, Indonesia, yang tergolong …"
Zahrah Nida,7 tahun lalu,"Berangkat dari Malang jam 7 pagi dengan cuaca cerah. Alhamdulillah sampai di daerah Kediri cuacanya panas banget bikin pusing. Tapi semakin mendekati Kelud, awan semakin tebal. Padahal belum jam 12, nyatanya kabut sudah turun dan menginvasi …"
ajis blee,8 tahun lalu,"Tempatnya bagus,  fasilitas penunjang seperti toilet    jga sudah tersedia, untuk pengendara roda 4 Harus parkir soalnya  jalur yg k atas belum memadai untuk dilalui"
salyarto salyartto,setahun lalu,"Pemandangan bagus, ngga terlalu jauh dr kota kediri,,danaunya udah hilang waktu letusan besar terakhir,,mbl ngga bisa ke puncak kawah, hrs naik ojek (banyak n harga udah pass standard ,ga perlu tawar2 harga)"
Lina Safitri,2 tahun lalu,"viewnya Subhanallah,
kalau ke kediri jangan sampai lewatkan 💚 …"
Nadila Dwi Hartanti,8 tahun lalu,"Perjalan menuju ke sana paling seru,apalagi kalau naik sepedah motor.jalannya bagus sudah aspal semua.di bahu jalan banyak tumbuhan nanas.dulu sih kesini waktu habis meletus,jadi cuma bisa sampai radius 3km dari puncak.banyak spot foto."
Fitria Dyh,2 tahun lalu,"pemandangan bagus bgt, sejuk dan asri tersedia ojek juga😗💗💗 …"
Tri Wahyuningsih,9 tahun lalu,Kurang suka.. karena waktu kesana lewat kediri dan ternyata tdak boleh mendekati kawah.. pdhal keindahan utamanya berada di kawahnya.. tetapi lain dripda itu sepanjang jalan ktika traking ke puncak kita di suguhi pemandangan yg menghijau …
Hammamnash,6 tahun lalu,"Keren, saya sarankan berangkat siang karena cahaya akan lebih bagus saat sore hari disana"
Rian Technician,9 bulan lalu,"Sy dulu kesna tahun 2005 pd saat itu gunung Kelud masih Kab. Blitar. Ntah knpa sekarang kok jadi masuk Kab. Kediri
Dan dulu bisa turun langsung di kawah Gn. Kelud,. …"
Tulus R.A,6 tahun lalu,"tempatnya bagus, anda bisa ke kawah dengan ojek tarif 50k pp , bisa juga rombongan lo harga lebih murah kalau rombongan"
Maulina Assarah,6 tahun lalu,so happy! meskipun jarak tempuh yang sangat jauh tp nggak akan nyesel karena disuguhkan dengan hamparan pohon pohonn yang bikin mata seger hehe
ferry prazt,6 tahun lalu,"Pemandangan yg sangat indah, selalu pas mendung dan gerimis pas kesini"
Irfan Wahyudi,6 tahun lalu,"Untuk menuju ke sini jalanan sudah di aspal, dan bagusnya semua tarif diseragamkan dan dipasang tulisan sehingga tidak membuat pengunjung menjadi ragu karena khawatir harga yg tdk sewajarnya"
Reyhanmulky M,7 tahun lalu,Due to kelud's eruption on 2014 kelud still on renovation until now. Only few people could reach the kawah. But still they got great scenery.
Bu Yayuk .E,setahun lalu,"Pengalaman seru ke kawah naik ojek, seremserem sedaap"
Lemon Influence,Diedit 3 tahun lalu,Sejuk banget rekomen buat wisata tapi sayangnya buat naik ke atas harus pakai ojek hehe tapi mantep banget si 👍 untuk hari biasa 8 ribu kalau hari libur 10 rb ojeknya 30 rb PP (cmn sedikit info buat yg belum tau) 🙏👏 …
ian pujirianto,Diedit 4 tahun lalu,"Ojek Dari Parkir Motor Sampai Atas 50 Ribu Per Orang PP. Sebaiknya Disediakan Tempat Sampah Karna Sampah Mulai Berceceran, Teman"" Saya Malah Bakti Sosial Mungutin Sampah Pas Nyampe Atas 😁 …"
Klepon Abang,8 tahun lalu,"A very beautiful view even after erupting. Kelud has its charismatic mount. It is a big, calm, and give us the giod atmosphere of nature living. Before Kelud, you may find another tourist attraction. Be sure you come to Kelud before 5 pm."
tomi setiawan,8 tahun lalu,"gunung kelud saat ini semakin dieksplor oleh penikmat fotografi, jalanan ke arah gunung kelud sangat baik sehingga diperjalan tidak terasa jauh. jangan datang dimusim hujan soalnya hujan disana sangat sangat ekstrim."
Lala Chan4,7 tahun lalu,"Viewnya good, dan amazing.
Tidak seramai wisata pendakian gunung yang lain, contoh bromo atau ijen, tapi oke juga kog medannya. …"
Elkana,2 tahun lalu,"It's one of Kediri destination place that worth your time and money. Visited when the Eid al Fitr holiday and it wasn't as crowded as usual. The people are helpful for tourist. If you want to visit the caldera, I suggest you to booked the …"
mashenroe,Diedit 7 tahun lalu,"Gunung Kelud secara geografi terletak di perbatasan Kediri-Blitar adalah salah satu gunung berapi yang masih aktif di Jawa Timur. Gunung Kelud bisa di akses dari 2 jalur, yaitu via jalan aspal di Sugihwaras, Ngancar, Kediri dan via …"
PawonArt,7 tahun lalu,Sekali kesana..penasaran merasakan fenomena di titik nol..selain melihat  pncak g Kelud.. Sippp mantabbbb 👍 …
Rofian Qoyum Haq,4 bulan lalu,Our memories stay forever
abadi sejahtera coating,3 tahun lalu,Siang hari diatas jam 2 merupakan waktu terbaik untuk berkunjung ke tempat ini.
Johan Nur Cahyo (Johan),7 tahun lalu,"Belum ada landmark untuk lokasi ini pasca letusan terakhir, dan tak seindah sebelum letusan dulu."
choiruel blitar,8 tahun lalu,"Wisata alam yang sejuk, pas aku kesana nyampek puncak hujann"
Sandy 94,2 tahun lalu,"Gunung yg meninggalkan kawah bekas letusan, sangat sejuk & cocok buat liburan keluarga"
WP 007,setahun lalu,Salah satu gunung yang indah di jawatimur dan langsung sampai kawahnya
Mar Ni,8 tahun lalu,"Pemandangan yg sangat mengesankan
Dr perjalanan sampe ke puncak indaaaaaaaahh bangeettttz 😍 …"
boss jeruk,8 tahun lalu,Rasa lelah bersepedah terbayar sudah sampai di puncak gunung kelud yang indah dan sejuk
jati ganda,6 tahun lalu,"Tempat nya bagus, indah ...
Saran saya kalo kesana bawa minum n makanan karena di sana gak ada yang jualan makanan n minuman ... …"
Batik Madrim,8 tahun lalu,"Pemandangannya bagus, mudah dijangkau baik sepeda maupun mobil."
Michael W,7 tahun lalu,"Gunu g kelud bagus untuk foto"" dengan view pegunungan. Sayang waktu sunrise tidak terlihat karna ketutupan gunung"
ratno pebrianto (rpebrianto),7 tahun lalu,Syang ga bisa sampe puncak karena masih ditutup
Boy Donald P S,8 tahun lalu,"Bagus, Indah banget
Cuma memang harus berjalan sekitar 30 menit untuk dapat view dari atas
Fasilitas oke memadai cuma jalan banyak yg berlubang, saya harap pemerintah sekitar segera memperbaiki agar bisa dinikmati"
Aisa,4 tahun lalu,"Sampai ditempat jam 07.15 belum buka, maklum mungkin krn hari senin.
Kesana naik tiger, dan kami ngojek juga motor tiger🤣🤣
Tapi kata paksu, ambil positifnya ajaa krn mereka sdh paham dg medannya👍🏻
Jadi ini masuk kediri atau blitar? …"
Oka Aldi Antara,Diedit 4 tahun lalu,"Seandainya pas nyampek kawah ada penjual minuman,yang habis jalan kaki darii bawah kaya saya tanpa naik ojek cuma bawa 1 botol air minum untuk 4 orang ternyata kurang."
Kurt Sinyo,setahun lalu,"Ongkos ojek 30 Ribu PP, 28 Juli 2024"
Akpar Sby,6 bulan lalu,"Pemandangan alam bagus,jalan lumayan bagus"
Rizko Argi Budiaji,7 tahun lalu,"wonderful place in Blitar district , you should to go there because you can feel relax like in Havana. Also you can find anything cheapest fruits, such as pineapple and soursop."
PAIJO PAIJ0,11 bulan lalu,Wisata alam selalu punya cerita
Ajeng Aje,3 tahun lalu,"Kelud is one of the most active volcanoes is Indonesia. This Mountain located in Kediri. You must pay Rp8000 on weekdays and Rp10.000 on weekend. View on the mountain is very amazing. There is crater of the mountain. If you wanna see, You …"
shelfin bima,7 tahun lalu,"Jika ingin ke gunung kelud ,sekarang sudah bisa sampai ke kawah dengan cara berjalan kaki (lumayan cukup jauh) atau menyewa ojek seharga 25 rb ."
Yanet Adi Surya,8 tahun lalu,"tempat yang baik untuk berwisata, jangan lupa untuk selalu membuang sampah pada tempatnya"
Dharmadji Dharmadji,8 tahun lalu,"Banyak distinasi wisata disekitar gn.kelud antara lain kampung anggrek, kampung nanas dan gn. Kelud sendiri, jadi sekali jalan banyak tujuan yang dilihat."
ziana,3 tahun lalu,"Kesana tgl 26 Juli ga terlalu rame. Tiket masuk 18k 1 motor 2 orang, ojek 30k PP dari parkiran."
juni joyodiningrat,6 tahun lalu,tempat wisata alam di jawatimur tiada hentinya memberikan keindahan yg sangat luar biasa yakni gunung Kelud
nusa wan,setahun lalu,"Uaneh masak naik ke kawah Kelud wajib ojek/jalankaki, sedangkan mau ngojek sepeda motornya cc nya dan keadaannya bagusan sepedah saya. 🥲
Lucu tp terlanjur jauh² datang ke situ …"
AKH EKA,6 tahun lalu,Tempatnya bagus dan cukup sejuk... cocok buat berfoto ria..
Ilham Mufid,3 tahun lalu,Tempat yang harus dikunjungi kalau mampir ke wilayah kabupaten kediri
Pipit Samsiyah,8 tahun lalu,"Tempatnya bagus bgt, sejuk, cocok buat prewedding😊 …"
Awan 6665,6 tahun lalu,"Gunung Kelud, dalam aksara jawa (sering disalahtuliskan menjadi Kelut dalambahasa Jawa; dalam bahasa Belanda disebutKlut, Cloot, Kloet, atau Kloete) adalah sebuahgunung berapi di Provinsi Jawa Timur, Indonesia, yang tergolong aktif. Gunung …"
christine cammelia,9 bulan lalu,Keren bangetttttt sukaaaaaa sekaliiii
Masna Naila Adibah,8 tahun lalu,"Viewnya bagus, tapi untuk menuju kawah via Kediri masih dalam proses pembangunan akses jalan (Agustus, 2017)"
Masyudi Yudi,6 bulan lalu,Pemandanganya indah..sejuk...bikin pikiran tenang...
Hadi Mulyono,7 tahun lalu,Tempatnya keren...waLau jaLannya menanjk hampir 45derajat...ga kapok maen kesini Lagi😉😉😉 …
yoyong rifqi,6 tahun lalu,Setelah meletus yg trakhir....kini g.kelud mulai di bangun kmbali...dan mulai ramai dikunjungi wisatawan.
arie joo,4 tahun lalu,"bagus bnget, sejuk....
tantangan bagi goweser"
Muhammad Jecky,6 bulan lalu,wahh bagus banget ada satwa liar tapi seru dikejarnya Kwkw
Dinda Fajar,3 tahun lalu,Asik banget main kesini.. Bagus banget juga.. Tiketnya juga murah cumaa 9ribu.. Ada toilet nya juga di area parkir mobil.. Ada ojek di area parkir mobil 40rb pp.. Kalau fisik oke gapapa gasken aja jalan.. Tapi kalau nggak pernah olahraga …
Yefa Tan,6 tahun lalu,Salah satu wisata kebanggaan warga setempat.. Wisata yang lagi berbenah pasca erupsi
Tour Banyuwangi,7 tahun lalu,"Gunung Kelud, dalam aksara jawa ꦒꦸꦤꦸꦁꦏꦼꦭꦸꦠ꧀ (sering disalahtuliskan menjadi Kelut dalam bahasa Jawa; dalam bahasa Belanda disebut Klut, Cloot, Kloet, atau Kloete) adalah sebuah gunung berapi di Provinsi Jawa Timur, Indonesia, yang tergolong …"
Leon Debora,setahun lalu,Sangat cantik dan rekomendasi wajib datang ke gunung kelud 👍👍 …
Apotek Nur jannah,3 tahun lalu,"Tempatnya sangat instagramable...
Tiket masuk 10k kalau mau ke kawah naek ojek bayar 50k PP"
salma sekar dewi,7 tahun lalu,"Bagus pemandangannyaa. Sejuk banget. Tapi ga ada sinyal sama sekali dr telkomsel, xl, three, dll"
Riki Kun,7 tahun lalu,"Hawanya sejuk...  Ion negativ banyak..

Tempat nya Bagus...  Sayang nya jalan ada yg berlubang"
Yustania Ariyanti,7 tahun lalu,"Pertama kesana sama doi, layan tempatnya, udara sejuk, tempatnya bagus juga buat foto, tapi pas kesana masih tahap renovasi 😅 …"
Catur Putranto,5 bulan lalu,SUPER BAGUSS DAN AKU DATANG waktu pas cerah tambah bagus sukaa
Ade SSS,7 tahun lalu,wisata alam di kabupaten kediri jawatimur. kawah gunung kelud yang eksotis. memiliki daya tarik tersendiri. Terdapat wahana offroad juga.
Muhammad Wahyudi,7 tahun lalu,Tempatnya bagus... Meskipun harus jalan lumayan jauh tapi view yang didapat sangat bagus... Ada terowongan juga namun saat musim hujan banjir.. jalanan juga belum rapih
Arbai Iabra,7 tahun lalu,Gunung kelud merupakan gunung berapi aktif yg sangat mempesona. Sangat rekomended untuk pendaki yg memang mencintai alam dengan suasana yg masih asri.
erma fatimah,7 tahun lalu,"Recommended buat main kesana.
Tapi sayangnya gak boleh ke kawah dengan jalan kaki, bolehnya harus naik ojek"
Agung Thegreat,3 tahun lalu,"Dingin,banyak spot foto,gunung,kawah, gardu pandang"
alya vivianjaya,6 bulan lalu,via karang rejo mantapp 😆🙌🏻 …
Bayu Putranto,setahun lalu,Tempat yg sangat indah
Reviewer Kepoo,6 tahun lalu,Salah satu wisata alam di perbatasan kota kediri dan blitar.. pemandangannya sangat indah..
pandu setiawan,3 tahun lalu,Pemandangannya bagus. Dingin banget
Munir,8 tahun lalu,"Pemandangan sangat bagus, pegunungan yg indah.."
Feri Widianto,6 tahun lalu,"Tempat favorit bgt sii dr jaman pacaran smpe skrng sh pny anak.. Tpt sejuk, gak bikin bosen.. Perjalanan menyenangkan dgn d kiri kanan bnyk pepohonan"
bang “Bangboom” boom,6 tahun lalu,"Destinasi bersejarah di kediri,akses jalan ok,dan udara masih dingin bnget.kami konvoi 23 unit kesini aman2 aja dan lancar🙏 …"
ilham syah,8 tahun lalu,"Tempat yang indah, tp jgn datang di jam 12 siang ke atas , biasanya kabut mulai turun"
uut_udhel 29,4 tahun lalu,terakhir kali kesini 2019 dan berharap bisa kesini lagi
Rafif H.F,setahun lalu,Rekomendasi Liburan untuk idul fitri teman2
ki brojo,Diedit 7 tahun lalu,"Gunung Kelud merupakan salah satu gunung berapi paling aktif di Indonesia seperti gunung berapi lainnya di Indonesia
Perjalanan kali ini melewati jalan alternatif  jalan makadam  dari Candi Penataran menuju Arah Pasar Patok Sidorejo  Ponggok kab. Blitar"
4NC Explorer,7 tahun lalu,"Ketika ingin menyejukkan diri, kesinilah kalian akan sampai,. 😉 …"
