user,waktu,review
Muhammad Zulfikri Febriansyah,setahun lalu,"Bagus tempatnya, akses nya juga lumayan mudah. Kalo mau ke kawah nya baru agak sulit bisa trekking sendiri atau pake ojek. Medannya buat ke kawah lumayan sulit, di akhir juga sempat full jalanan gragal. Cuma ya lumayan bagus. Harga ojek ke puncak 40ribu buat WNI. Turis WNA harganya kayaknya 50ribu. Itu udah PP"
Yustin Sofia,5 bulan lalu,"viewnya bagus bangettt, suka main kesini, apalagi mainnya sama cowoku 💗 next time mau main kesini lagii …"
Aqiel Mahda,7 bulan lalu,"track cocok untuk pemula, jadi tempat favorit untuk pemanasan pendakian"
M. Fajar Wirayudha,setahun lalu,"Terakhir kali di puncak sini saat terakhir kali sebelum meletus tahun 2013. Selama ini hanya dari batas parkiran roda 4 saja,, ketika sampai sini pemandangannya bikin pangling tidak sama seperti dulu. Karena dulu ada tangga² ke puncak naga, tangga ke air panas, dsb. Semuanya hilang ditelan erupsi 2014🥲 …"
Dap Ady,Diedit 11 bulan lalu,Salah satu wisata alam unggulan daerah kabupaten Kediri. Akses jalan ke tempat wisata sudah bagus. Mau ke kawah gunung Kelud bisa menggunakan jasa ojek atau trekking.
Cahya arief Insana,setahun lalu,"Berkunjung tgl 2 january 2025

Pemandangannya buagus …"
veronica louhenapessy,setahun lalu,"Datang ke sini pagi2 biar masih sepi, naik ojek bayarnya ga terlalu mahal. Ditungguin juga sampai selesai foto2. Sepanjang jalan viewnya cantik, sayang ojeknya ngebut banget. Harusnya bisa pelan2 biar menikmati pemandangan. …"
Kristian Wibisono,4 bulan lalu,"Untuk pemandangan nya jangan diragukan lagi..
Memeng cakep puol"
Rofiq Husnur,setahun lalu,"Gunung adalah pelampiasan terbaik saat kita berada di titik jenuh dan memerlukan semangat baru.
Gunung Kelud gunung yang sangat cocok buat tempat nyantai keindahannya juga masi asri dan indah cocok buat kalian"" Yang suka ngedate sama pasangan"
Mochammad Ardiyansyah,10 bulan lalu,"Tempat nya keren
Mau sehat bisa jalan kaki
Mau nyaman ada kang ojek Rp 40k PP …"
My Cookies Food Factory,9 bulan lalu,"Pemandangan yang sungguh indah. Momen tak terlupakan. Bagus untuk pemula. Untuk yang pertama kali ke gunung kelud , ada ojek motor untuk naik kekawah gunung keludnya. Pengalaman seru yang tak terlupakan"
JALAN JALAN,10 bulan lalu,"Pemandangan cakep banget😍.
Disarankan datang pagi dibawah pukul 09.00wib..diatas jam itu biasa udah ketutup kabut. Soalnya pas berkunjung pagi cerah bagus banget.. Pas udh turun jam 8.30 …"
Angga Setiawan,setahun lalu,"Salah satu wisata alam yang cukup mempesona disetiap bagiannya. Perjalanan dari solo kesini memang butuh perjuangan dan menguras waktu. Dibutuhkan 5-6 jam, tapi dengan Lewat JLS emang indah. Sampe sini jam 1 malam, tidur di masjid dekat …"
Ronny Santoso,setahun lalu,Gunung Kelud merupakan salah satu destinasi wisata alam yang sangat indah menawan dan luar biasa yang berlokasi di Kediri Jawa Timur. Sangat cocok untuk spot-spot foto yang sangat bagus. …
anggayu Budi,setahun lalu,"-+3jam dari surabaya naik motor.
View yg bagus, akses jalan yg mudah. Ke gunung yg tk harus mendaki. Karna  ada ojek yg siap mengantar PP, sampai kawah hanya dg 40 rb( turis lokal) /50 rb( …"
Cfbn Magetan,5 bulan lalu,"Bersepeda ke Gunung Kelud mengesankan, malam semakin dingin."
Naufal Ridhwan Aly,setahun lalu,Naik lewat jalur wisata jadi bisa naik ojek. Harganya 20K kalo gasalah. Naik-turun sama tarifnya. Tapi gatau juga sih soalnya milih jalan tipis-tipis aja bareng temen 😁 meskipun harus agak minggir karena banyak ojek yang seliweran 🛵 …
Satya K.,setahun lalu,"Salah satu destinasi wisata top di Kediri. Sangat recommended ketika cuaca cerah dan tidak hujan, karena perjalanan dari area parkir menuju lokasi kawah memerlukan transportasi ojek lokal. Bagus untuk foto-foto atau bisa juga untuk latihan fisik/trail run dan semacamnya"
Ayuning Dian,11 bulan lalu,"Udah ke sekian kali ke Gunung Kelud dan ini yang paling menyenangkan karena akses jalannya udah bagus. Spot foto makin banyak dan cantik-cantik banget, Masya Allah. Semoga bisa ke sana lagi dalam keadaan sehat jasmani dan finansial. Hehehe. …"
ulfi rifki,setahun lalu,"Gunung kelud berada di ketinggian 1731mdpl, termasuk dalam gunung vulkanik aktif.
Untuk mencapai puncak gunung ini sangat mudah. Cukup bawa kendaraan anda via …"
Riska Ningrum,11 bulan lalu,"Salah satu destinasi wisata yg wajib dikunjungi bagi yg mampir ke kediri.. Pemandangan alam yg indah dan udara yg sejuk, sangat cocok untuk merefresh tubuh kita dari rutinitas sehari-hari. …"
Nono Hary,3 bulan lalu,"Udaranya sangat sejuk...
Rekom kesini pagi sampai siang, menjelang sore kabut turun."
